Date,Region,Country,Elevation (m),Wind (Beaufort),Temperature (°C),Precipitation (mm),Snow Depth (cm)
2022-11-20,Garmisch-Partenkirchen,Germany,750,6,-9.6,0,43
2022-11-21,Garmisch-Partenkirchen,Germany,750,7,-1.2,12.9,13
2022-11-22,Garmisch-Partenkirchen,Germany,750,5,-7.7,2.5,24
2022-11-23,Garmisch-Partenkirchen,Germany,750,5,-3.4,0,24
2022-11-24,Garmisch-Partenkirchen,Germany,750,7,-5.4,2.1,37
2022-11-25,Garmisch-Partenkirchen,Germany,750,3,-2.7,0,26
2022-11-26,Garmisch-Partenkirchen,Germany,750,6,-8.2,0,41
2022-11-27,Garmisch-Partenkirchen,Germany,750,6,-7.6,8.3,15
2022-11-28,Garmisch-Partenkirchen,Germany,750,4,1.8,13.9,61
2022-11-29,Garmisch-Partenkirchen,Germany,750,3,-2.5,0,53
2022-11-30,Garmisch-Partenkirchen,Germany,750,4,3.8,13.4,26
2022-12-01,Garmisch-Partenkirchen,Germany,750,3,-5.7,0,36
2022-12-02,Garmisch-Partenkirchen,Germany,750,3,-1.8,0,29
2022-12-03,Garmisch-Partenkirchen,Germany,750,5,-4.8,0,51
2022-12-04,Garmisch-Partenkirchen,Germany,750,5,-10.7,11.7,57
2022-12-05,Garmisch-Partenkirchen,Germany,750,7,-2.5,1,41
2022-12-06,Garmisch-Partenkirchen,Germany,750,6,-1.4,0,62
2022-12-07,Garmisch-Partenkirchen,Germany,750,4,-4.7,0,46
2022-12-08,Garmisch-Partenkirchen,Germany,750,4,-9.3,15,57
2022-12-09,Garmisch-Partenkirchen,Germany,750,5,-7.5,0,44
2022-12-10,Garmisch-Partenkirchen,Germany,750,4,-1,0,60
2022-12-11,Garmisch-Partenkirchen,Germany,750,6,-5,0,16
2022-12-12,Garmisch-Partenkirchen,Germany,750,3,-8.2,0.7,43
2022-12-13,Garmisch-Partenkirchen,Germany,750,3,-3.9,5,29
2022-12-14,Garmisch-Partenkirchen,Germany,750,6,-5.6,0,15
2022-12-15,Garmisch-Partenkirchen,Germany,750,5,-4,13.3,46
2022-12-16,Garmisch-Partenkirchen,Germany,750,6,-8.6,0,33
2022-12-17,Garmisch-Partenkirchen,Germany,750,4,-9.5,0,45
2022-12-18,Garmisch-Partenkirchen,Germany,750,7,-3.8,0,61
2022-12-19,Garmisch-Partenkirchen,Germany,750,3,-9.6,0,38
2022-12-20,Garmisch-Partenkirchen,Germany,750,4,-12.5,0,57
2022-12-21,Garmisch-Partenkirchen,Germany,750,6,4,0,34
2022-12-22,Garmisch-Partenkirchen,Germany,750,3,-3.4,4.5,56
2022-12-23,Garmisch-Partenkirchen,Germany,750,6,-12.9,8.6,49
2022-12-24,Garmisch-Partenkirchen,Germany,750,4,-4,0,17
2022-12-25,Garmisch-Partenkirchen,Germany,750,3,1.9,0,25
2022-12-26,Garmisch-Partenkirchen,Germany,750,6,-3.5,0,60
2022-12-27,Garmisch-Partenkirchen,Germany,750,6,4.3,0,13
2022-12-28,Garmisch-Partenkirchen,Germany,750,3,-6.2,0,59
2022-12-29,Garmisch-Partenkirchen,Germany,750,6,-9.1,11.4,53
2022-12-30,Garmisch-Partenkirchen,Germany,750,3,0.5,1.5,23
2022-12-31,Garmisch-Partenkirchen,Germany,750,4,1.7,8.1,29
2023-01-01,Garmisch-Partenkirchen,Germany,750,3,-7.3,5.8,51
2023-01-02,Garmisch-Partenkirchen,Germany,750,4,-5.5,13.9,13
2023-01-03,Garmisch-Partenkirchen,Germany,750,6,-7.1,0.7,15
2023-01-04,Garmisch-Partenkirchen,Germany,750,6,0.8,11.9,23
2023-01-05,Garmisch-Partenkirchen,Germany,750,6,-3.2,1.7,55
2023-01-06,Garmisch-Partenkirchen,Germany,750,5,-10.3,14,16
2023-01-07,Garmisch-Partenkirchen,Germany,750,3,2.3,0,19
2023-01-08,Garmisch-Partenkirchen,Germany,750,3,-6.6,13.6,24
2023-01-09,Garmisch-Partenkirchen,Germany,750,5,-0.5,12.3,19
2023-01-10,Garmisch-Partenkirchen,Germany,750,4,-7.5,5.2,31
2023-01-11,Garmisch-Partenkirchen,Germany,750,7,-2.4,10.6,24
2023-01-12,Garmisch-Partenkirchen,Germany,750,6,-6,0,28
2023-01-13,Garmisch-Partenkirchen,Germany,750,4,4,0,31
2023-01-14,Garmisch-Partenkirchen,Germany,750,5,-1.2,0,19
2023-01-15,Garmisch-Partenkirchen,Germany,750,6,-3.3,0,36
2023-01-16,Garmisch-Partenkirchen,Germany,750,6,-5.1,0,32
2023-01-17,Garmisch-Partenkirchen,Germany,750,6,-6.6,10.2,49
2023-01-18,Garmisch-Partenkirchen,Germany,750,6,-11.2,0,37
2023-01-19,Garmisch-Partenkirchen,Germany,750,4,-6.2,1.6,52
2023-01-20,Garmisch-Partenkirchen,Germany,750,3,-3.2,2.2,38
2023-01-21,Garmisch-Partenkirchen,Germany,750,3,-6.1,3.8,27
2023-01-22,Garmisch-Partenkirchen,Germany,750,6,0.7,7.9,59
2023-01-23,Garmisch-Partenkirchen,Germany,750,4,-0.2,0,41
2023-01-24,Garmisch-Partenkirchen,Germany,750,7,-0.9,5.5,53
2023-01-25,Garmisch-Partenkirchen,Germany,750,6,0,0,15
2023-01-26,Garmisch-Partenkirchen,Germany,750,6,-1.3,0,25
2023-01-27,Garmisch-Partenkirchen,Germany,750,5,-7.6,0,36
2023-01-28,Garmisch-Partenkirchen,Germany,750,6,-7.7,0,23
2023-01-29,Garmisch-Partenkirchen,Germany,750,4,-9.4,4.2,31
2023-01-30,Garmisch-Partenkirchen,Germany,750,3,-4.4,8,40
2023-01-31,Garmisch-Partenkirchen,Germany,750,5,-3.2,3.6,49
2023-02-01,Garmisch-Partenkirchen,Germany,750,3,2.2,1.4,34
2023-02-02,Garmisch-Partenkirchen,Germany,750,7,-14.1,0,48
2023-02-03,Garmisch-Partenkirchen,Germany,750,3,-12.5,1.1,25
2023-02-04,Garmisch-Partenkirchen,Germany,750,5,1.2,0,45
2023-02-05,Garmisch-Partenkirchen,Germany,750,7,-8.6,6.6,17
2023-02-06,Garmisch-Partenkirchen,Germany,750,3,3.5,13,27
2023-02-07,Garmisch-Partenkirchen,Germany,750,6,-10.3,2.2,13
2023-02-08,Garmisch-Partenkirchen,Germany,750,4,-1.9,0,15
2023-02-09,Garmisch-Partenkirchen,Germany,750,7,-11.7,0,56
2023-02-10,Garmisch-Partenkirchen,Germany,750,6,-6.4,5.1,45
2023-02-11,Garmisch-Partenkirchen,Germany,750,5,-0.9,12.7,47
2023-02-12,Garmisch-Partenkirchen,Germany,750,6,-3,0,24
2023-02-13,Garmisch-Partenkirchen,Germany,750,5,-4.5,0,22
2023-02-14,Garmisch-Partenkirchen,Germany,750,4,-1.1,0,17
2023-02-15,Garmisch-Partenkirchen,Germany,750,5,-4.2,0,51
2023-02-16,Garmisch-Partenkirchen,Germany,750,3,-4.3,0,61
2023-02-17,Garmisch-Partenkirchen,Germany,750,3,-4.4,0,54
2023-02-18,Garmisch-Partenkirchen,Germany,750,4,4.8,0,30
2023-02-19,Garmisch-Partenkirchen,Germany,750,5,-10.7,0,57
2023-02-20,Garmisch-Partenkirchen,Germany,750,5,0.6,14.2,24
2023-02-21,Garmisch-Partenkirchen,Germany,750,4,-11,5.9,54
2023-02-22,Garmisch-Partenkirchen,Germany,750,7,-6.1,0,29
2023-02-23,Garmisch-Partenkirchen,Germany,750,4,3.7,13.5,22
2023-02-24,Garmisch-Partenkirchen,Germany,750,3,0.1,0,28
2023-02-25,Garmisch-Partenkirchen,Germany,750,3,-4,12.2,23
2023-02-26,Garmisch-Partenkirchen,Germany,750,5,-5.2,5.5,58
2023-02-27,Garmisch-Partenkirchen,Germany,750,5,-5.5,11.4,33
2023-02-28,Garmisch-Partenkirchen,Germany,750,6,-12.3,9.7,34
2023-03-01,Garmisch-Partenkirchen,Germany,750,5,-11.1,3.3,23
2023-03-02,Garmisch-Partenkirchen,Germany,750,3,-11.4,1.6,26
2023-03-03,Garmisch-Partenkirchen,Germany,750,4,-8.8,4.4,29
2023-03-04,Garmisch-Partenkirchen,Germany,750,7,-11.7,7.9,24
2023-03-05,Garmisch-Partenkirchen,Germany,750,5,-10.2,0,48
2023-03-06,Garmisch-Partenkirchen,Germany,750,3,-2.8,5.5,39
2023-03-07,Garmisch-Partenkirchen,Germany,750,5,-2.4,0,26
2023-03-08,Garmisch-Partenkirchen,Germany,750,5,-10.1,0,18
2023-03-09,Garmisch-Partenkirchen,Germany,750,3,-7.1,11.1,14
2023-03-10,Garmisch-Partenkirchen,Germany,750,7,-2.4,0,15
2023-03-11,Garmisch-Partenkirchen,Germany,750,4,-6.9,0,51
2023-03-12,Garmisch-Partenkirchen,Germany,750,3,-2,2.7,47
2023-03-13,Garmisch-Partenkirchen,Germany,750,4,2.4,0,30
2023-03-14,Garmisch-Partenkirchen,Germany,750,5,-2.4,4.7,13
2023-03-15,Garmisch-Partenkirchen,Germany,750,3,-2.8,6.7,36
2023-03-16,Garmisch-Partenkirchen,Germany,750,7,-12.4,11.8,55
2023-03-17,Garmisch-Partenkirchen,Germany,750,3,-11.7,0,36
2023-03-18,Garmisch-Partenkirchen,Germany,750,3,-3.4,4.3,42
2023-03-19,Garmisch-Partenkirchen,Germany,750,5,-1.6,11.3,49
2023-03-20,Garmisch-Partenkirchen,Germany,750,7,-6.1,0,24
2023-03-21,Garmisch-Partenkirchen,Germany,750,6,-12.3,9.5,31
2023-03-22,Garmisch-Partenkirchen,Germany,750,3,-5.9,11.2,30
2023-03-23,Garmisch-Partenkirchen,Germany,750,5,3,0,26
2023-03-24,Garmisch-Partenkirchen,Germany,750,5,-3.2,13.6,49
2023-03-25,Garmisch-Partenkirchen,Germany,750,3,2.3,0,14
2023-03-26,Garmisch-Partenkirchen,Germany,750,6,-4.9,8.8,48
2023-03-27,Garmisch-Partenkirchen,Germany,750,6,-5.5,0,44
2023-03-28,Garmisch-Partenkirchen,Germany,750,4,-0.5,0,25
2023-03-29,Garmisch-Partenkirchen,Germany,750,6,-12.3,14.9,13
2023-03-30,Garmisch-Partenkirchen,Germany,750,6,-13,10.5,20
2023-03-31,Garmisch-Partenkirchen,Germany,750,7,-10.9,0,59
2023-04-01,Garmisch-Partenkirchen,Germany,750,5,-4.1,8.8,54
2023-04-02,Garmisch-Partenkirchen,Germany,750,5,-1.9,0,25
2023-04-03,Garmisch-Partenkirchen,Germany,750,3,-3.6,0,51
2023-04-04,Garmisch-Partenkirchen,Germany,750,6,-6.9,1.7,49
2023-04-05,Garmisch-Partenkirchen,Germany,750,6,-8.1,8.8,46
2023-04-06,Garmisch-Partenkirchen,Germany,750,6,-4.3,14.6,61
2023-04-07,Garmisch-Partenkirchen,Germany,750,6,-4.2,0.9,38
2023-04-08,Garmisch-Partenkirchen,Germany,750,4,-2.3,0,18
2023-04-09,Garmisch-Partenkirchen,Germany,750,4,-3.9,0,48
2023-04-10,Garmisch-Partenkirchen,Germany,750,7,-5.8,1.5,58
2023-04-11,Garmisch-Partenkirchen,Germany,750,4,-0.8,1.4,25
2023-04-12,Garmisch-Partenkirchen,Germany,750,4,-5,0,20
2023-04-13,Garmisch-Partenkirchen,Germany,750,4,-10.4,0,27
2023-04-14,Garmisch-Partenkirchen,Germany,750,7,-0.8,13.8,38
2023-04-15,Garmisch-Partenkirchen,Germany,750,6,-9.2,2.7,50
2023-04-16,Garmisch-Partenkirchen,Germany,750,5,-7.8,0,40
2023-04-17,Garmisch-Partenkirchen,Germany,750,6,-1.6,0,55
2023-04-18,Garmisch-Partenkirchen,Germany,750,4,-1.9,0,37
2023-04-19,Garmisch-Partenkirchen,Germany,750,5,2.3,0,40
2023-04-20,Garmisch-Partenkirchen,Germany,750,7,-4.8,0,38
2023-04-21,Garmisch-Partenkirchen,Germany,750,6,-9.4,13.4,15
2023-04-22,Garmisch-Partenkirchen,Germany,750,6,-3,0,43
2023-04-23,Garmisch-Partenkirchen,Germany,750,4,-3.7,9.1,43
2023-04-24,Garmisch-Partenkirchen,Germany,750,6,-2,0,42
2023-04-25,Garmisch-Partenkirchen,Germany,750,5,-6.2,0,24
2023-04-26,Garmisch-Partenkirchen,Germany,750,4,3.5,0,37
2023-04-27,Garmisch-Partenkirchen,Germany,750,3,-3.1,0,59
2023-04-28,Garmisch-Partenkirchen,Germany,750,3,-5.7,12.3,41
2023-04-29,Garmisch-Partenkirchen,Germany,750,4,-9.8,14.7,23
2023-04-30,Garmisch-Partenkirchen,Germany,750,5,-3.6,0.7,55
2023-05-01,Garmisch-Partenkirchen,Germany,750,4,14.9,0,0
2023-05-02,Garmisch-Partenkirchen,Germany,750,7,12.9,0,0
2023-05-03,Garmisch-Partenkirchen,Germany,750,4,21.8,0,0
2023-05-04,Garmisch-Partenkirchen,Germany,750,4,17.6,6.4,0
2023-05-05,Garmisch-Partenkirchen,Germany,750,7,18.1,0,0
2023-05-06,Garmisch-Partenkirchen,Germany,750,6,20.1,0,0
2023-05-07,Garmisch-Partenkirchen,Germany,750,5,21.7,0,0
2023-05-08,Garmisch-Partenkirchen,Germany,750,6,9.7,0,0
2023-05-09,Garmisch-Partenkirchen,Germany,750,6,8.4,0,0
2023-05-10,Garmisch-Partenkirchen,Germany,750,4,20.9,0,0
2023-05-11,Garmisch-Partenkirchen,Germany,750,5,17.6,0,0
2023-05-12,Garmisch-Partenkirchen,Germany,750,5,19,0,0
2023-05-13,Garmisch-Partenkirchen,Germany,750,5,26.6,0,0
2023-05-14,Garmisch-Partenkirchen,Germany,750,4,16.3,0,0
2023-05-15,Garmisch-Partenkirchen,Germany,750,5,15.1,0,0
2023-05-16,Garmisch-Partenkirchen,Germany,750,4,15,0,0
2023-05-17,Garmisch-Partenkirchen,Germany,750,6,15.2,0,0
2023-05-18,Garmisch-Partenkirchen,Germany,750,4,20,0,0
2023-05-19,Garmisch-Partenkirchen,Germany,750,5,23.9,10.5,0
2023-05-20,Garmisch-Partenkirchen,Germany,750,5,11.9,0,0
2023-05-21,Garmisch-Partenkirchen,Germany,750,5,21.7,2,0
2023-05-22,Garmisch-Partenkirchen,Germany,750,4,26.1,2.5,0
2023-05-23,Garmisch-Partenkirchen,Germany,750,7,16.1,0,0
2023-05-24,Garmisch-Partenkirchen,Germany,750,4,19.1,0,0
2023-05-25,Garmisch-Partenkirchen,Germany,750,6,23.1,9.2,0
2023-05-26,Garmisch-Partenkirchen,Germany,750,5,16.6,0,0
2023-05-27,Garmisch-Partenkirchen,Germany,750,4,22.3,0,0
2023-05-28,Garmisch-Partenkirchen,Germany,750,6,22.5,4.6,0
2023-05-29,Garmisch-Partenkirchen,Germany,750,7,24.8,0,0
2023-05-30,Garmisch-Partenkirchen,Germany,750,3,12.2,0,0
2023-05-31,Garmisch-Partenkirchen,Germany,750,3,26.2,7.7,0
2023-06-01,Garmisch-Partenkirchen,Germany,750,4,18.5,23.9,0
2023-06-02,Garmisch-Partenkirchen,Germany,750,4,17.4,0,0
2023-06-03,Garmisch-Partenkirchen,Germany,750,3,14.9,0,0
2023-06-04,Garmisch-Partenkirchen,Germany,750,4,18.4,0,0
2023-06-05,Garmisch-Partenkirchen,Germany,750,6,6.9,0,0
2023-06-06,Garmisch-Partenkirchen,Germany,750,6,17,0,0
2023-06-07,Garmisch-Partenkirchen,Germany,750,4,11.8,0,0
2023-06-08,Garmisch-Partenkirchen,Germany,750,3,23.5,0,0
2023-06-09,Garmisch-Partenkirchen,Germany,750,6,14.6,0,0
2023-06-10,Garmisch-Partenkirchen,Germany,750,5,15.8,0,0
2023-06-11,Garmisch-Partenkirchen,Germany,750,4,19.8,0,0
2023-06-12,Garmisch-Partenkirchen,Germany,750,3,23.2,0,0
2023-06-13,Garmisch-Partenkirchen,Germany,750,3,13.7,0,0
2023-06-14,Garmisch-Partenkirchen,Germany,750,3,21.8,0,0
2023-06-15,Garmisch-Partenkirchen,Germany,750,6,26.6,0,0
2023-06-16,Garmisch-Partenkirchen,Germany,750,4,21.2,0,0
2023-06-17,Garmisch-Partenkirchen,Germany,750,4,15.5,0,0
2023-06-18,Garmisch-Partenkirchen,Germany,750,3,19.3,0,0
2023-06-19,Garmisch-Partenkirchen,Germany,750,4,9.5,15,0
2023-06-20,Garmisch-Partenkirchen,Germany,750,6,17.9,22.6,0
2023-06-21,Garmisch-Partenkirchen,Germany,750,5,16.9,0,0
2023-06-22,Garmisch-Partenkirchen,Germany,750,5,11.9,0,0
2023-06-23,Garmisch-Partenkirchen,Germany,750,5,19.2,13.4,0
2023-06-24,Garmisch-Partenkirchen,Germany,750,4,15.4,0,0
2023-06-25,Garmisch-Partenkirchen,Germany,750,5,9.5,19.3,0
2023-06-26,Garmisch-Partenkirchen,Germany,750,7,11.2,0,0
2023-06-27,Garmisch-Partenkirchen,Germany,750,5,19.8,0,0
2023-06-28,Garmisch-Partenkirchen,Germany,750,4,23.1,23.3,0
2023-06-29,Garmisch-Partenkirchen,Germany,750,4,14.4,0,0
2023-06-30,Garmisch-Partenkirchen,Germany,750,7,11.6,0,0
2023-07-01,Garmisch-Partenkirchen,Germany,750,6,26.1,0,0
2023-07-02,Garmisch-Partenkirchen,Germany,750,5,15.9,0,0
2023-07-03,Garmisch-Partenkirchen,Germany,750,5,21.2,0,0
2023-07-04,Garmisch-Partenkirchen,Germany,750,3,20.1,8.7,0
2023-07-05,Garmisch-Partenkirchen,Germany,750,4,8.7,0,0
2023-07-06,Garmisch-Partenkirchen,Germany,750,5,15.9,0,0
2023-07-07,Garmisch-Partenkirchen,Germany,750,6,20.4,8.9,0
2023-07-08,Garmisch-Partenkirchen,Germany,750,4,22.9,0,0
2023-07-09,Garmisch-Partenkirchen,Germany,750,4,11.7,10.7,0
2023-07-10,Garmisch-Partenkirchen,Germany,750,5,12.4,0,0
2023-07-11,Garmisch-Partenkirchen,Germany,750,5,19.5,10.4,0
2023-07-12,Garmisch-Partenkirchen,Germany,750,5,25.3,0,0
2023-07-13,Garmisch-Partenkirchen,Germany,750,5,20.7,0,0
2023-07-14,Garmisch-Partenkirchen,Germany,750,6,9.4,0,0
2023-07-15,Garmisch-Partenkirchen,Germany,750,6,23.3,0,0
2023-07-16,Garmisch-Partenkirchen,Germany,750,6,16.3,0,0
2023-07-17,Garmisch-Partenkirchen,Germany,750,6,20.6,0,0
2023-07-18,Garmisch-Partenkirchen,Germany,750,3,21.4,1,0
2023-07-19,Garmisch-Partenkirchen,Germany,750,6,9,1.3,0
2023-07-20,Garmisch-Partenkirchen,Germany,750,3,21.5,0,0
2023-07-21,Garmisch-Partenkirchen,Germany,750,6,27,0,0
2023-07-22,Garmisch-Partenkirchen,Germany,750,4,21.9,0,0
2023-07-23,Garmisch-Partenkirchen,Germany,750,4,17.9,0,0
2023-07-24,Garmisch-Partenkirchen,Germany,750,3,18.5,7.5,0
2023-07-25,Garmisch-Partenkirchen,Germany,750,6,19,0,0
2023-07-26,Garmisch-Partenkirchen,Germany,750,3,15.1,0,0
2023-07-27,Garmisch-Partenkirchen,Germany,750,3,25.5,20.6,0
2023-07-28,Garmisch-Partenkirchen,Germany,750,4,10.9,22.8,0
2023-07-29,Garmisch-Partenkirchen,Germany,750,4,26.8,0,0
2023-07-30,Garmisch-Partenkirchen,Germany,750,5,14,1.1,0
2023-07-31,Garmisch-Partenkirchen,Germany,750,6,23,0,0
2023-08-01,Garmisch-Partenkirchen,Germany,750,3,18.1,0,0
2023-08-02,Garmisch-Partenkirchen,Germany,750,5,20,0,0
2023-08-03,Garmisch-Partenkirchen,Germany,750,4,25.1,0,0
2023-08-04,Garmisch-Partenkirchen,Germany,750,5,24.5,0,0
2023-08-05,Garmisch-Partenkirchen,Germany,750,5,19,0,0
2023-08-06,Garmisch-Partenkirchen,Germany,750,6,24,19.8,0
2023-08-07,Garmisch-Partenkirchen,Germany,750,7,14.5,0,0
2023-08-08,Garmisch-Partenkirchen,Germany,750,5,15.1,0,0
2023-08-09,Garmisch-Partenkirchen,Germany,750,6,18.7,0,0
2023-08-10,Garmisch-Partenkirchen,Germany,750,3,26.3,0,0
2023-08-11,Garmisch-Partenkirchen,Germany,750,4,18.6,0,0
2023-08-12,Garmisch-Partenkirchen,Germany,750,5,12,0,0
2023-08-13,Garmisch-Partenkirchen,Germany,750,7,16.7,0,0
2023-08-14,Garmisch-Partenkirchen,Germany,750,6,21.3,0,0
2023-08-15,Garmisch-Partenkirchen,Germany,750,6,28.3,19.8,0
2023-08-16,Garmisch-Partenkirchen,Germany,750,5,23.5,0,0
2023-08-17,Garmisch-Partenkirchen,Germany,750,4,19.6,0,0
2023-08-18,Garmisch-Partenkirchen,Germany,750,6,12.9,12.1,0
2023-08-19,Garmisch-Partenkirchen,Germany,750,4,9.1,0,0
2023-08-20,Garmisch-Partenkirchen,Germany,750,6,20.5,0,0
2023-08-21,Garmisch-Partenkirchen,Germany,750,3,23.5,0,0
2023-08-22,Garmisch-Partenkirchen,Germany,750,5,18.7,0,0
2023-08-23,Garmisch-Partenkirchen,Germany,750,3,22,0,0
2023-08-24,Garmisch-Partenkirchen,Germany,750,4,14.9,0.4,0
2023-08-25,Garmisch-Partenkirchen,Germany,750,5,17.8,0,0
2023-08-26,Garmisch-Partenkirchen,Germany,750,4,18.1,17.4,0
2023-08-27,Garmisch-Partenkirchen,Germany,750,4,25.4,0,0
2023-08-28,Garmisch-Partenkirchen,Germany,750,4,12.5,11.3,0
2023-08-29,Garmisch-Partenkirchen,Germany,750,3,15.6,22.1,0
2023-08-30,Garmisch-Partenkirchen,Germany,750,5,11.2,17.4,0
2023-08-31,Garmisch-Partenkirchen,Germany,750,5,14.6,0,0
2023-09-01,Garmisch-Partenkirchen,Germany,750,3,22,0,0
2023-09-02,Garmisch-Partenkirchen,Germany,750,6,9.8,0,0
2023-09-03,Garmisch-Partenkirchen,Germany,750,7,15.8,0,0
2023-09-04,Garmisch-Partenkirchen,Germany,750,5,23.7,22.3,0
2023-09-05,Garmisch-Partenkirchen,Germany,750,7,23.5,2.4,0
2023-09-06,Garmisch-Partenkirchen,Germany,750,5,16.1,0,0
2023-09-07,Garmisch-Partenkirchen,Germany,750,6,17.8,0,0
2023-09-08,Garmisch-Partenkirchen,Germany,750,3,20.2,0,0
2023-09-09,Garmisch-Partenkirchen,Germany,750,5,13.7,15.9,0
2023-09-10,Garmisch-Partenkirchen,Germany,750,5,21.7,0,0
2023-09-11,Garmisch-Partenkirchen,Germany,750,4,15.1,19.4,0
2023-09-12,Garmisch-Partenkirchen,Germany,750,4,24.4,0,0
2023-09-13,Garmisch-Partenkirchen,Germany,750,5,26.4,0,0
2023-09-14,Garmisch-Partenkirchen,Germany,750,6,17.3,6.4,0
2023-09-15,Garmisch-Partenkirchen,Germany,750,4,25.5,0,0
2023-09-16,Garmisch-Partenkirchen,Germany,750,4,19.1,0,0
2023-09-17,Garmisch-Partenkirchen,Germany,750,7,18.2,24.1,0
2023-09-18,Garmisch-Partenkirchen,Germany,750,6,17.3,14.6,0
2023-09-19,Garmisch-Partenkirchen,Germany,750,3,18.9,0,0
2023-09-20,Garmisch-Partenkirchen,Germany,750,4,17.8,0,0
2023-09-21,Garmisch-Partenkirchen,Germany,750,5,12.6,6.4,0
2023-09-22,Garmisch-Partenkirchen,Germany,750,4,24.1,0,0
2023-09-23,Garmisch-Partenkirchen,Germany,750,5,13.8,18.1,0
2023-09-24,Garmisch-Partenkirchen,Germany,750,5,23.5,0,0
2023-09-25,Garmisch-Partenkirchen,Germany,750,3,19.2,0,0
2023-09-26,Garmisch-Partenkirchen,Germany,750,4,20.4,0,0
2023-09-27,Garmisch-Partenkirchen,Germany,750,6,17.2,20,0
2023-09-28,Garmisch-Partenkirchen,Germany,750,3,21.9,6.4,0
2023-09-29,Garmisch-Partenkirchen,Germany,750,6,22.6,0,0
2023-09-30,Garmisch-Partenkirchen,Germany,750,4,17.2,0,0
2023-10-01,Garmisch-Partenkirchen,Germany,750,5,17.2,0,0
2023-10-02,Garmisch-Partenkirchen,Germany,750,6,13.3,0,0
