Region,Country,Date,Elevation (m),Wind (Beaufort),Temperature (Â°C),Snow Depth (cm),Precipitation (mm),Daily Snow Depth (cm),Monthly Snow Depth (cm),Mean Snow Depth (cm),Max Snow Depth (cm),Days where AVG Temp < 0C
Adelboden,Switzerland,20/05/2018,,,,0,,,0,0,0,0
Adelboden,Switzerland,09/10/2018,,,,3,,,3,0.096774194,3,1
Adelboden,Switzerland,06/11/2018,,,,13,,,13,0.9,11,5
Adelboden,Switzerland,01/12/2018,,,,83,,,83,14.09677419,44,23
Adelboden,Switzerland,13/01/2019,,,,138,,,138,34.29032258,66,31
Adelboden,Switzerland,23/02/2019,,,,82,,,82,60.10714286,86,28
Adelboden,Switzerland,16/03/2019,,,,71,,,71,19.58064516,42,24
Adelboden,Switzerland,18/04/2019,,,,51,,,51,2.533333333,30,8
Adelboden,Switzerland,30/05/2019,,,,21,,,21,0.806451613,15,2
Alp_Grum,Switzerland,29/01/2015,,,,92,,,92,40.5483871,80,31
Alp_Grum,Switzerland,26/02/2015,,,,63,,,63,74.96428571,95,28
Alp_Grum,Switzerland,23/03/2015,,,,36,,,36,51.83870968,85,31
Alp_Grum,Switzerland,15/04/2015,,,,13,,,13,3.833333333,15,14
Alp_Grum,Switzerland,16/05/2015,,,,40,,,40,2.903225806,35,5
Alp_Grum,Switzerland,05/11/2015,,,,0,,,0,0,0,0
Alp_Grum,Switzerland,24/12/2015,,,,0,,,0,0,0,0
Alp_Grum,Switzerland,23/01/2016,,,,101,,,101,36.87096774,70,30
Alp_Grum,Switzerland,18/02/2016,,,,172,,,172,74.65517241,120,29
Alp_Grum,Switzerland,21/03/2016,,,,60,,,60,67.09677419,110,31
Alp_Grum,Switzerland,02/04/2016,,,,45,,,45,18.16666667,35,23
Alp_Grum,Switzerland,10/11/2016,,,,76,,,76,24.3,50,26
Alp_Grum,Switzerland,07/12/2016,,,,0,,,0,11,20,31
Alp_Grum,Switzerland,21/01/2017,,,,12,,,12,5.548387097,12,26
Alp_Grum,Switzerland,13/02/2017,,,,93,,,93,32.14285714,58,27
Alp_Grum,Switzerland,30/03/2017,,,,63,,,63,42.22580645,88,27
Alp_Grum,Switzerland,11/04/2017,,,,45,,,45,5.5,45,5
Alp_Grum,Switzerland,18/05/2017,,,,65,,,65,6.935483871,40,9
Alp_Grum,Switzerland,27/10/2017,,,,10,,,10,0.483870968,10,2
Alp_Grum,Switzerland,21/11/2017,,,,20,,,20,1.733333333,10,8
Alp_Grum,Switzerland,19/12/2017,,,,135,,,135,36,110,25
Alp_Grum,Switzerland,18/01/2018,,,,69,,,69,102.3548387,113,31
Alp_Grum,Switzerland,26/02/2018,,,,39,,,39,81.85714286,90,28
Alp_Grum,Switzerland,15/03/2018,,,,64,,,64,85.96774194,105,31
Alp_Grum,Switzerland,24/04/2018,,,,59,,,59,111.3333333,143,30
Alp_Grum,Switzerland,16/05/2018,,,,0,,,0,3.225806452,30,5
Alp_Grum,Switzerland,07/10/2018,,,,23,,,23,1.741935484,16,4
Alp_Grum,Switzerland,30/11/2018,,,,48,,,48,9.433333333,40,12
Alp_Grum,Switzerland,16/12/2018,,,,22,,,22,15.70967742,22,31
Alp_Grum,Switzerland,10/01/2019,,,,15,,,15,17.77419355,25,31
Alp_Grum,Switzerland,03/02/2019,,,,98,,,98,60.78571429,116,28
Alp_Grum,Switzerland,08/03/2019,,,,68,,,68,23.96774194,50,25
Alp_Grum,Switzerland,08/04/2019,,,,127,,,127,48.83333333,120,22
Alp_Grum,Switzerland,06/05/2019,,,,40,,,40,8.548387097,20,20
Andermatt,Switzerland,08/01/2015,,,,121,,,121,33.67741935,68,31
Andermatt,Switzerland,21/02/2015,,,,82,,,82,73.57142857,92,28
Andermatt,Switzerland,15/03/2015,,,,52,,,52,68.93548387,90,31
Andermatt,Switzerland,26/04/2015,,,,63,,,63,30.76666667,92,21
Andermatt,Switzerland,21/05/2015,,,,27,,,27,1.258064516,22,4
Andermatt,Switzerland,27/10/2015,,,,4,,,4,0.161290323,3,3
Andermatt,Switzerland,05/11/2015,,,,60,,,60,8.066666667,33,10
Andermatt,Switzerland,17/12/2015,,,,2,,,2,20.83870968,26,31
Andermatt,Switzerland,11/01/2016,,,,85,,,85,44.09677419,58,31
Andermatt,Switzerland,13/02/2016,,,,120,,,120,82.82758621,104,29
Andermatt,Switzerland,14/03/2016,,,,89,,,89,104.9032258,142,31
Andermatt,Switzerland,26/04/2016,,,,72,,,72,19.03333333,63,21
Andermatt,Switzerland,04/05/2016,,,,13,,,13,0.774193548,10,4
Andermatt,Switzerland,01/10/2016,,,,0,,,0,0,0,0
Andermatt,Switzerland,09/11/2016,,,,68,,,68,9.9,44,16
Andermatt,Switzerland,19/12/2016,,,,3,,,3,0.161290323,2,3
Andermatt,Switzerland,06/01/2017,,,,128,,,128,38.5483871,69,29
Andermatt,Switzerland,28/02/2017,,,,51,,,51,46.60714286,59,28
Andermatt,Switzerland,02/03/2017,,,,145,,,145,64.38709677,100,31
Andermatt,Switzerland,24/04/2017,,,,62,,,62,8.166666667,41,16
Andermatt,Switzerland,13/05/2017,,,,18,,,18,1.35483871,20,5
Andermatt,Switzerland,18/10/2017,,,,9,,,9,0.419354839,6,3
Andermatt,Switzerland,04/11/2017,,,,93,,,93,20.2,37,25
Andermatt,Switzerland,22/12/2017,,,,169,,,169,66.41935484,110,31
Andermatt,Switzerland,05/01/2018,,,,183,,,183,112.3225806,178,31
Andermatt,Switzerland,26/02/2018,,,,56,,,56,139.2857143,156,28
Andermatt,Switzerland,12/03/2018,,,,139,,,139,134.4516129,168,31
Andermatt,Switzerland,20/04/2018,,,,28,,,28,78.56666667,180,26
Andermatt,Switzerland,09/05/2018,,,,0,,,0,0,0,0
Andermatt,Switzerland,02/10/2018,,,,45,,,45,2.838709677,43,4
Andermatt,Switzerland,21/11/2018,,,,13,,,13,1.5,9,12
Andermatt,Switzerland,17/12/2018,,,,91,,,91,25.38709677,45,28
Andermatt,Switzerland,18/01/2019,,,,201,,,201,92.64516129,138,31
Andermatt,Switzerland,16/02/2019,,,,53,,,53,113.5,130,28
Andermatt,Switzerland,11/03/2019,,,,98,,,98,108.0322581,148,31
Andermatt,Switzerland,28/04/2019,,,,162,,,162,82.96666667,175,30
Andermatt,Switzerland,12/05/2019,,,,6,,,6,3.064516129,28,7
Arolla,Switzerland,21/01/2015,,,,74,,,74,44.29032258,79,31
Arolla,Switzerland,06/02/2015,,,,48,,,48,70.28571429,89,28
Arolla,Switzerland,27/03/2015,,,,76,,,76,65.4516129,93,31
Arolla,Switzerland,17/04/2015,,,,29,,,29,33,81,22
Arolla,Switzerland,09/10/2015,,,,15,,,15,0.967741935,15,3
Arolla,Switzerland,23/11/2015,,,,55,,,55,10.83333333,44,10
Arolla,Switzerland,18/12/2015,,,,6,,,6,20.5483871,30,31
Arolla,Switzerland,06/01/2016,,,,120,,,120,63.90322581,98,31
Arolla,Switzerland,01/02/2016,,,,147,,,147,106.2068966,123,29
Arolla,Switzerland,13/03/2016,,,,36,,,36,104.2903226,125,31
Arolla,Switzerland,03/04/2016,,,,31,,,31,18.83333333,68,17
Arolla,Switzerland,18/05/2016,,,,62,,,62,2.64516129,20,7
Arolla,Switzerland,29/10/2016,,,,6,,,6,0.225806452,3,3
Arolla,Switzerland,28/11/2016,,,,96,,,96,19.8,69,18
Arolla,Switzerland,10/12/2016,,,,2,,,2,0.064516129,1,2
Arolla,Switzerland,20/01/2017,,,,53,,,53,17.16129032,42,28
Arolla,Switzerland,25/02/2017,,,,45,,,45,31.17857143,49,28
Arolla,Switzerland,01/03/2017,,,,62,,,62,29.03225806,65,30
Arolla,Switzerland,22/04/2017,,,,38,,,38,2.133333333,23,7
Arolla,Switzerland,05/05/2017,,,,22,,,22,1.516129032,19,6
Arolla,Switzerland,19/10/2017,,,,4,,,4,0.129032258,4,1
Arolla,Switzerland,08/11/2017,,,,64,,,64,19.23333333,34,25
Arolla,Switzerland,23/12/2017,,,,119,,,119,54.09677419,86,31
Arolla,Switzerland,15/01/2018,,,,223,,,223,137.3225806,195,31
Arolla,Switzerland,18/02/2018,,,,46,,,46,159.7857143,174,28
Arolla,Switzerland,02/03/2018,,,,78,,,78,164.7096774,175,31
Arolla,Switzerland,20/04/2018,,,,13,,,13,112.7333333,174,30
Arolla,Switzerland,24/05/2018,,,,12,,,12,1.35483871,17,5
Arolla,Switzerland,11/10/2018,,,,37,,,37,2.322580645,24,4
Arolla,Switzerland,02/11/2018,,,,28,,,28,4.833333333,26,14
Arolla,Switzerland,17/12/2018,,,,99,,,99,37.5483871,60,31
Arolla,Switzerland,24/01/2019,,,,79,,,79,72.87096774,100,31
Arolla,Switzerland,18/02/2019,,,,35,,,35,85.42857143,102,28
Arolla,Switzerland,22/03/2019,,,,76,,,76,71.4516129,115,31
Arolla,Switzerland,12/04/2019,,,,80,,,80,26.8,75,24
Arolla,Switzerland,28/05/2019,,,,6,,,6,0.322580645,4,5
Arosa,Switzerland,22/01/2015,,,,136,,,136,47.61290323,82,31
Arosa,Switzerland,16/02/2015,,,,69,,,69,69.71428571,90,28
Arosa,Switzerland,30/03/2015,,,,88,,,88,75.83870968,107,31
Arosa,Switzerland,24/04/2015,,,,73,,,73,41.3,95,24
Arosa,Switzerland,27/05/2015,,,,26,,,26,1.709677419,19,6
Arosa,Switzerland,14/10/2015,,,,44,,,44,3.903225806,20,12
Arosa,Switzerland,18/11/2015,,,,34,,,34,4.7,22,10
Arosa,Switzerland,16/12/2015,,,,5,,,5,7.451612903,12,31
Arosa,Switzerland,18/01/2016,,,,137,,,137,38.19354839,65,31
Arosa,Switzerland,02/02/2016,,,,138,,,138,76.24137931,88,29
Arosa,Switzerland,28/03/2016,,,,125,,,125,97.35483871,128,31
Arosa,Switzerland,08/04/2016,,,,101,,,101,26.16666667,71,24
Arosa,Switzerland,13/05/2016,,,,31,,,31,1.258064516,15,7
Arosa,Switzerland,09/06/2016,,,,6,,,6,0.2,6,1
Arosa,Switzerland,19/07/2016,,,,2,,,2,0.064516129,2,1
Arosa,Switzerland,19/08/2016,,,,0,,,0,0,0,0
Arosa,Switzerland,15/09/2016,,,,0,,,0,0,0,0
Arosa,Switzerland,19/10/2016,,,,4,,,4,0.129032258,3,2
Arosa,Switzerland,20/11/2016,,,,77,,,77,9.7,38,22
Arosa,Switzerland,12/12/2016,,,,10,,,10,0.903225806,6,7
Arosa,Switzerland,23/01/2017,,,,114,,,114,32.06451613,49,29
Arosa,Switzerland,13/02/2017,,,,82,,,82,59.42857143,70,28
Arosa,Switzerland,05/03/2017,,,,113,,,113,70.38709677,100,31
Arosa,Switzerland,14/04/2017,,,,95,,,95,13.33333333,36,25
Arosa,Switzerland,06/05/2017,,,,31,,,31,1.548387097,21,4
Arosa,Switzerland,23/06/2017,,,,0,,,0,0,0,0
Arosa,Switzerland,28/07/2017,,,,0,,,0,0,0,0
Arosa,Switzerland,02/08/2017,,,,0,,,0,0,0,0
Arosa,Switzerland,12/09/2017,,,,19,,,19,0.666666667,6,6
Arosa,Switzerland,11/10/2017,,,,19,,,19,1.032258065,16,5
Arosa,Switzerland,24/11/2017,,,,112,,,112,19.63333333,40,25
Arosa,Switzerland,19/12/2017,,,,178,,,178,57.41935484,85,31
Arosa,Switzerland,11/01/2018,,,,286,,,286,118.2580645,179,31
Arosa,Switzerland,12/02/2018,,,,67,,,67,132.5,150,28
Arosa,Switzerland,23/03/2018,,,,157,,,157,134.2903226,156,31
Arosa,Switzerland,17/04/2018,,,,32,,,32,90.8,161,30
Arosa,Switzerland,13/05/2018,,,,3,,,3,0.709677419,10,4
Arosa,Switzerland,30/10/2018,,,,80,,,80,5.225806452,72,6
Arosa,Switzerland,18/11/2018,,,,18,,,18,4.566666667,18,15
Arosa,Switzerland,12/12/2018,,,,190,,,190,44.93548387,80,31
Arosa,Switzerland,01/01/2019,,,,319,,,319,137.2258065,205,31
Arosa,Switzerland,03/02/2019,,,,110,,,110,150.8571429,177,28
Arosa,Switzerland,25/03/2019,,,,167,,,167,146.8387097,187,31
Arosa,Switzerland,10/04/2019,,,,101,,,101,120.4,159,30
Arosa,Switzerland,25/05/2019,,,,79,,,79,75.61290323,105,31
Bellinzona,Switzerland,17/01/2015,,,,6,,,6,0.225806452,5,3
Bellinzona,Switzerland,22/02/2015,,,,23,,,23,1,12,4
Bellinzona,Switzerland,28/03/2015,,,,0,,,0,0,0,0
Bellinzona,Switzerland,18/04/2015,,,,0,,,0,0,0,0
Bellinzona,Switzerland,15/05/2015,,,,0,,,0,0,0,0
Bellinzona,Switzerland,04/10/2015,,,,0,,,0,0,0,0
Bellinzona,Switzerland,18/11/2015,,,,0,,,0,0,0,0
Bellinzona,Switzerland,10/12/2015,,,,0,,,0,0,0,0
Bellinzona,Switzerland,10/01/2016,,,,0,,,0,0,0,0
Bellinzona,Switzerland,23/02/2016,,,,0,,,0,0,0,0
Bellinzona,Switzerland,18/03/2016,,,,19,,,19,0.903225806,19,4
Bellinzona,Switzerland,30/04/2016,,,,0,,,0,0,0,0
Bellinzona,Switzerland,22/05/2016,,,,0,,,0,0,0,0
Bellinzona,Switzerland,20/10/2016,,,,0,,,0,0,0,0
Bellinzona,Switzerland,17/11/2016,,,,0,,,0,0,0,0
Bellinzona,Switzerland,07/12/2016,,,,0,,,0,0,0,0
Bellinzona,Switzerland,09/01/2017,,,,1,,,1,0.032258065,1,1
Bellinzona,Switzerland,23/02/2017,,,,0,,,0,0,0,0
Bellinzona,Switzerland,01/03/2017,,,,0,,,0,0,0,0
Bellinzona,Switzerland,19/04/2017,,,,0,,,0,0,0,0
Bellinzona,Switzerland,24/05/2017,,,,0,,,0,0,0,0
Bellinzona,Switzerland,17/10/2017,,,,0,,,0,0,0,0
Bellinzona,Switzerland,05/11/2017,,,,0,,,0,0,0,0
Bellinzona,Switzerland,19/12/2017,,,,28,,,28,8.741935484,25,21
Bellinzona,Switzerland,19/01/2018,,,,0,,,0,0.322580645,6,3
Bellinzona,Switzerland,27/02/2018,,,,0,,,0,0,0,0
Bellinzona,Switzerland,07/03/2018,,,,5,,,5,0.161290323,5,1
Bellinzona,Switzerland,18/04/2018,,,,0,,,0,0,0,0
Bellinzona,Switzerland,18/05/2018,,,,0,,,0,0,0,0
Bellinzona,Switzerland,12/10/2018,,,,0,,,0,0,0,0
Bellinzona,Switzerland,14/11/2018,,,,0,,,0,0,0,0
Bellinzona,Switzerland,19/12/2018,,,,1,,,1,0.032258065,1,1
Bellinzona,Switzerland,22/01/2019,,,,0,,,0,0,0,0
Bellinzona,Switzerland,11/02/2019,,,,11,,,11,0.785714286,11,4
Bellinzona,Switzerland,18/03/2019,,,,0,,,0,0,0,0
Bellinzona,Switzerland,04/04/2019,,,,0,,,0,0,0,0
Bellinzona,Switzerland,03/05/2019,,,,0,,,0,0,0,0
Bergun,Switzerland,26/01/2015,,,,48,,,48,14.38709677,30,31
Bergun,Switzerland,28/02/2015,,,,28,,,28,24.25,29,28
Bergun,Switzerland,06/03/2015,,,,12,,,12,8.774193548,27,20
Bergun,Switzerland,24/04/2015,,,,13,,,13,0.433333333,5,5
Bergun,Switzerland,13/05/2015,,,,2,,,2,0.064516129,2,1
Bergun,Switzerland,17/10/2015,,,,10,,,10,0.322580645,5,3
Bergun,Switzerland,23/11/2015,,,,9,,,9,0.333333333,3,5
Bergun,Switzerland,10/12/2015,,,,2,,,2,0.096774194,2,2
Bergun,Switzerland,29/01/2016,,,,49,,,49,12.35483871,20,29
Bergun,Switzerland,18/02/2016,,,,73,,,73,25.62068966,40,29
Bergun,Switzerland,21/03/2016,,,,61,,,61,25.22580645,58,29
Bergun,Switzerland,26/04/2016,,,,25,,,25,0.833333333,10,5
Bergun,Switzerland,09/05/2016,,,,0,,,0,0,0,0
Bergun,Switzerland,03/10/2016,,,,0,,,0,0,0,0
Bergun,Switzerland,21/11/2016,,,,27,,,27,4.2,15,12
Bergun,Switzerland,17/12/2016,,,,0,,,0,0,0,0
Bergun,Switzerland,08/01/2017,,,,52,,,52,16.83870968,27,29
Bergun,Switzerland,03/02/2017,,,,34,,,34,23.17857143,37,28
Bergun,Switzerland,19/03/2017,,,,20,,,20,8.419354839,21,18
Bergun,Switzerland,06/04/2017,,,,33,,,33,1.533333333,20,7
Bergun,Switzerland,29/05/2017,,,,2,,,2,0.064516129,2,1
Bergun,Switzerland,09/10/2017,,,,1,,,1,0.032258065,1,1
Bergun,Switzerland,27/11/2017,,,,34,,,34,1.833333333,10,12
Bergun,Switzerland,12/12/2017,,,,91,,,91,14.74193548,38,31
Bergun,Switzerland,01/01/2018,,,,131,,,131,60.03225806,100,31
Bergun,Switzerland,11/02/2018,,,,26,,,26,76.53571429,82,28
Bergun,Switzerland,02/03/2018,,,,42,,,42,59.5483871,79,31
Bergun,Switzerland,29/04/2018,,,,16,,,16,10.83333333,55,10
Bergun,Switzerland,29/05/2018,,,,0,,,0,0,0,0
Bergun,Switzerland,11/10/2018,,,,55,,,55,4.677419355,55,4
Bergun,Switzerland,29/11/2018,,,,5,,,5,1.333333333,15,9
Bergun,Switzerland,04/12/2018,,,,73,,,73,19.64516129,47,23
Bergun,Switzerland,30/01/2019,,,,142,,,142,64.61290323,90,31
Bergun,Switzerland,15/02/2019,,,,36,,,36,75.03571429,89,28
Bergun,Switzerland,10/03/2019,,,,47,,,47,23.32258065,57,30
Bergun,Switzerland,11/04/2019,,,,30,,,30,1.366666667,20,5
Bergun,Switzerland,25/05/2019,,,,1,,,1,0.032258065,1,1
Bernina_Diavolezza,Switzerland,21/01/2015,,,,136,,,136,58.29032258,89,31
Bernina_Diavolezza,Switzerland,22/02/2015,,,,118,,,118,104.2857143,139,28
Bernina_Diavolezza,Switzerland,01/03/2015,,,,59,,,59,112.2258065,131,31
Bernina_Diavolezza,Switzerland,05/04/2015,,,,24,,,24,67.6,98,30
Bernina_Diavolezza,Switzerland,25/05/2015,,,,63,,,63,5.387096774,57,8
Bernina_Diavolezza,Switzerland,25/10/2015,,,,72,,,72,10.4516129,47,18
Bernina_Diavolezza,Switzerland,10/11/2015,,,,0,,,0,0,0,0
Bernina_Diavolezza,Switzerland,20/12/2015,,,,0,,,0,0,0,0
Bernina_Diavolezza,Switzerland,04/01/2016,,,,90,,,90,34.29032258,58,31
Bernina_Diavolezza,Switzerland,18/02/2016,,,,129,,,129,78.62068966,102,29
Bernina_Diavolezza,Switzerland,29/03/2016,,,,85,,,85,123.0645161,157,31
Bernina_Diavolezza,Switzerland,09/04/2016,,,,78,,,78,45.9,96,30
Bernina_Diavolezza,Switzerland,10/05/2016,,,,44,,,44,1.741935484,14,9
Bernina_Diavolezza,Switzerland,17/10/2016,,,,10,,,10,0.483870968,10,2
Bernina_Diavolezza,Switzerland,18/11/2016,,,,45,,,45,12.13333333,32,23
Bernina_Diavolezza,Switzerland,07/12/2016,,,,0,,,0,0,0,0
Bernina_Diavolezza,Switzerland,29/01/2017,,,,23,,,23,12.61290323,20,27
Bernina_Diavolezza,Switzerland,10/02/2017,,,,83,,,83,54.07142857,78,28
Bernina_Diavolezza,Switzerland,17/03/2017,,,,109,,,109,83.29032258,116,31
Bernina_Diavolezza,Switzerland,14/04/2017,,,,52,,,52,18.83333333,50,19
Bernina_Diavolezza,Switzerland,05/05/2017,,,,31,,,31,11.03225806,50,12
Bernina_Diavolezza,Switzerland,13/10/2017,,,,5,,,5,0.161290323,5,1
Bernina_Diavolezza,Switzerland,21/11/2017,,,,92,,,92,28,68,25
Bernina_Diavolezza,Switzerland,10/12/2017,,,,229,,,229,82.03225806,150,31
Bernina_Diavolezza,Switzerland,02/01/2018,,,,145,,,145,152.6774194,179,31
Bernina_Diavolezza,Switzerland,22/02/2018,,,,35,,,35,158.4642857,168,28
Bernina_Diavolezza,Switzerland,02/03/2018,,,,109,,,109,168.0645161,198,31
Bernina_Diavolezza,Switzerland,22/04/2018,,,,66,,,66,169.0666667,210,30
Bernina_Diavolezza,Switzerland,03/05/2018,,,,0,,,0,19.87096774,96,11
Bernina_Diavolezza,Switzerland,10/10/2018,,,,27,,,27,2,20,4
Bernina_Diavolezza,Switzerland,28/11/2018,,,,58,,,58,9.433333333,26,15
Bernina_Diavolezza,Switzerland,30/12/2018,,,,76,,,76,41.41935484,60,31
Bernina_Diavolezza,Switzerland,16/01/2019,,,,96,,,96,69.5483871,98,31
Bernina_Diavolezza,Switzerland,03/02/2019,,,,66,,,66,109.6785714,135,28
Bernina_Diavolezza,Switzerland,14/03/2019,,,,84,,,84,118.1935484,140,31
Bernina_Diavolezza,Switzerland,11/04/2019,,,,159,,,159,146.5666667,220,30
Bernina_Diavolezza,Switzerland,04/05/2019,,,,28,,,28,63.61290323,106,31
Berninapass,Switzerland,14/01/2015,,,,118,,,118,145.8387097,188,31
Berninapass,Switzerland,17/02/2015,,,,71,,,71,168.4285714,188,28
Berninapass,Switzerland,16/03/2015,,,,49,,,49,144.1935484,180,31
Berninapass,Switzerland,14/04/2015,,,,20,,,20,80,110,30
Berninapass,Switzerland,25/05/2015,,,,40,,,40,6.129032258,40,9
Berninapass,Switzerland,10/11/2015,,,,0,,,0,0,0,0
Berninapass,Switzerland,21/12/2015,,,,2,,,2,0.064516129,2,1
Berninapass,Switzerland,06/01/2016,,,,107,,,107,36.16129032,70,30
Berninapass,Switzerland,25/02/2016,,,,160,,,160,79.65517241,115,29
Berninapass,Switzerland,04/03/2016,,,,83,,,83,121.7096774,165,31
Berninapass,Switzerland,17/04/2016,,,,80,,,80,70.83333333,95,30
Berninapass,Switzerland,13/11/2016,,,,117,,,117,40.8,75,26
Berninapass,Switzerland,02/12/2016,,,,4,,,4,34.5483871,45,31
Berninapass,Switzerland,14/01/2017,,,,15,,,15,26.29032258,40,31
Berninapass,Switzerland,03/02/2017,,,,100,,,100,54.46428571,90,28
Berninapass,Switzerland,14/03/2017,,,,77,,,77,75.64516129,125,31
Berninapass,Switzerland,30/04/2017,,,,55,,,55,31.7,60,30
Berninapass,Switzerland,29/05/2017,,,,75,,,75,16.77419355,65,15
Berninapass,Switzerland,14/10/2017,,,,15,,,15,0.967741935,15,3
Berninapass,Switzerland,30/11/2017,,,,78,,,78,26.93333333,50,26
Berninapass,Switzerland,01/12/2017,,,,200,,,200,74.58064516,150,31
Berninapass,Switzerland,14/01/2018,,,,80,,,80,160.8387097,197,31
Berninapass,Switzerland,04/02/2018,,,,48,,,48,159.8571429,180,28
Berninapass,Switzerland,03/03/2018,,,,80,,,80,165.8064516,190,31
Berninapass,Switzerland,19/04/2018,,,,90,,,90,222.8333333,255,30
Berninapass,Switzerland,16/05/2018,,,,0,,,0,51.48387097,140,22
Berninapass,Switzerland,05/10/2018,,,,77,,,77,7.741935484,70,4
Berninapass,Switzerland,19/11/2018,,,,92,,,92,45.8,80,30
Berninapass,Switzerland,15/12/2018,,,,40,,,40,44.5483871,50,31
Berninapass,Switzerland,25/01/2019,,,,21,,,21,55.83870968,68,31
Berninapass,Switzerland,28/02/2019,,,,125,,,125,120.6785714,183,28
Berninapass,Switzerland,02/03/2019,,,,120,,,120,98.5483871,145,31
Berninapass,Switzerland,30/04/2019,,,,218,,,218,142.2,215,30
Berninapass,Switzerland,05/05/2019,,,,95,,,95,125.483871,160,31
Bivio,Switzerland,16/01/2015,,,,105,,,105,46.38709677,73,31
Bivio,Switzerland,10/02/2015,,,,55,,,55,71.25,87,28
Bivio,Switzerland,17/03/2015,,,,49,,,49,69.93548387,86,31
Bivio,Switzerland,07/04/2015,,,,44,,,44,29.76666667,67,21
Bivio,Switzerland,21/05/2015,,,,68,,,68,6.516129032,48,8
Bivio,Switzerland,20/10/2015,,,,50,,,50,5.096774194,30,10
Bivio,Switzerland,04/11/2015,,,,20,,,20,2.8,16,10
Bivio,Switzerland,15/12/2015,,,,3,,,3,4.709677419,9,23
Bivio,Switzerland,09/01/2016,,,,65,,,65,20.48387097,34,29
Bivio,Switzerland,10/02/2016,,,,129,,,129,48.06896552,65,29
Bivio,Switzerland,07/03/2016,,,,125,,,125,73.41935484,124,31
Bivio,Switzerland,12/04/2016,,,,66,,,66,7.4,38,16
Bivio,Switzerland,02/05/2016,,,,56,,,56,2.709677419,26,8
Bivio,Switzerland,06/10/2016,,,,21,,,21,1.419354839,18,4
Bivio,Switzerland,13/11/2016,,,,50,,,50,8.5,33,19
Bivio,Switzerland,11/12/2016,,,,1,,,1,0.064516129,1,2
Bivio,Switzerland,25/01/2017,,,,97,,,97,28,44,29
Bivio,Switzerland,25/02/2017,,,,57,,,57,40.71428571,54,28
Bivio,Switzerland,22/03/2017,,,,75,,,75,44.25806452,68,30
Bivio,Switzerland,22/04/2017,,,,84,,,84,5.633333333,55,9
Bivio,Switzerland,25/05/2017,,,,36,,,36,4.483870968,40,6
Bivio,Switzerland,19/10/2017,,,,10,,,10,0.387096774,6,4
Bivio,Switzerland,05/11/2017,,,,83,,,83,16.33333333,30,25
Bivio,Switzerland,12/12/2017,,,,108,,,108,40.41935484,74,31
Bivio,Switzerland,28/01/2018,,,,138,,,138,85.32258065,129,31
Bivio,Switzerland,26/02/2018,,,,67,,,67,102.1071429,112,28
Bivio,Switzerland,02/03/2018,,,,115,,,115,104.1612903,123,31
Bivio,Switzerland,04/04/2018,,,,18,,,18,49.76666667,112,22
Bivio,Switzerland,24/05/2018,,,,4,,,4,0.129032258,4,1
Bivio,Switzerland,30/10/2018,,,,54,,,54,3.387096774,41,5
